1,Destination,Route,Towards,Notes,Gruoba
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis. Monday to Saturday only - no service on public holidays,05:21
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No service Sundays or public holidays.,05:59
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No service Sundays or public holidays.,06:07
To,Klosters Platz - Station,231,Klosters Platz - Station,No,06:17
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,06:21
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Connection to Davos not availible on weekends or public holidays.,06:36
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis. Through connection to Landquart is weekdays only and not availbe on public holidays.,06:39
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos not availible on weekends or public holidays.,06:44
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis. Through connection to Landquart is weekdays only and not availbe on public holidays.,06:45
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,06:59
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,07:07
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis. Through connection to Landquart is weekdays only and not availbe on public holidays.,07:12
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,07:18
To,Klosters Platz - Station:Via Serneus:Via Serneus Bad,231,Klosters Platz - Station:Serneus:Dorf:Bad,Calls at Serneus Bad between 23 Dec-9 Apr and 1 July-30 Sept.,07:29
To,Klosters Platz - Station,231,Klosters Platz - Station,No,07:37
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,07:42
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,07:48
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,07:59
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,08:07
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,08:12
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,08:18
To,Klosters Platz - Station:Via Serneus:Via Serneus Bad:(Davos),231,Klosters Platz - Station:Serneus:Dorf:Bad,Calls at Serneus Bad between 23 Dec-9 Apr and 1 July-30 Sept. Connection to Davos 24 Dec - 11 Mar only.,08:29
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,08:37
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–30.9,08:42
From,Kublis:Via Saas,231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,08:48
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,08:59
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,09:07
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,09:12
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,09:18
To,Klosters Platz - Station:Via Serneus:Via Serneus Bad:(Davos),231,Klosters Platz - Station:Serneus:Dorf:Bad,Calls at Serneus Bad between 23 Dec-9 Apr and 1 July-30 Sept.,09:29
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,09:37
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,09:42
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,09:48
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,09:59
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,10:07
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,10:12
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,10:18
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Connection to Davos 24 Dec - 11 Mar only.,10:29
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,10:37
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–30.9,10:42
From,Kublis:Via Saas,231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,10:48
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,10:59
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,11:07
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,11:12
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,11:18
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,11:29
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,11:37
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,11:42
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,11:48
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,11:59
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,12:07
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,12:12
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,12:18
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Connection to Davos 24 Dec - 11 Mar only.,12:29
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,12:37
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–30.9,12:42
From,Kublis:Via Saas,231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,12:48
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,12:59
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,13:07
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,13:12
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,13:18
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,13:29
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,13:37
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,13:42
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,13:48
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,13:59
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,14:07
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,14:12
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,14:18
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Connection to Davos 24 Dec - 11 Mar only.,14:29
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,14:37
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–30.9,14:42
From,Kublis:Via Saas,231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,14:48
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,14:59
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,15:07
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–30.9,15:12
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,15:18
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,15:29
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,15:37
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–30.9,15:42
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,15:48
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,15:59
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,16:07
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–30.9,16:12
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,16:18
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,Connection to Davos 24 Dec - 11 Mar only.,16:29
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,16:37
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–30.9,16:42
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,16:48
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,16:59
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,17:07
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–30.9,17:12
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,17:18
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,17:29
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,17:37
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–30.9,17:42
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,17:48
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,17:59
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,18:07
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,18:12
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,18:18
To,Serneus Dorf: Via Serneus,231,Serneus:Dorf,No,18:29
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,18:42
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,18:48
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,18:59
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,19:07
To,Serneus Dorf: Via Serneus,231,Serneus:Dorf,No,19:29
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–30.9,19:42
From,Kublis:Via Saas,231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,19:48
To,Klosters Platz - Station:Via Serneus:(Davos),231,Klosters Platz - Station:Serneus:Dorf,No,19:59
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,20:07
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,20:12
From,Kublis:Via Saas:(Landquart),231,Kublis,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,20:18
To,Serneus Dorf: Via Serneus,231,Serneus:Dorf,No,20:29
From,Serneus Dorf: Via Serneus,231,Serneus:Dorf,No,20:42
