1,Destination,Route,Towards,Notes,UbermBach
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No service Sundays or public holidays.,06:10
To,Klosters Platz - Station,231,Klosters Platz - Station,No,06:20
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis. Through connection to Landquart is weekdays only and not availbe on public holidays.,06:37
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos not availible on weekends or public holidays.,06:47
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,07:10
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,07:10
To,Klosters Platz - Station,231,Klosters Platz - Station,No,07:40
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,07:40
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,08:10
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,08:10
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,08:40
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,08:40
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,09:10
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,09:10
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,09:40
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,09:40
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,10:10
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,10:10
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,10:40
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,10:40
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,11:10
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,11:10
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,11:40
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,11:40
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,12:10
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,12:10
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,12:40
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,12:40
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,13:10
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,13:10
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,13:40
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,13:40
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,14:10
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,14:10
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,14:40
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,14:40
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–30.9,15:10
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,15:10
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,15:40
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3010,15:40
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,16:10
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3011,16:10
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,16:40
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3012,16:40
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3013,17:10
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,17:10
From,Kublis:Via Saas:Via Serneus:Via Serneus Bad:(Landquart),231,Kublis:Serneus:Dorf:Bad,Lift pass: Not valid between Mezzaselva & Kublis. Guest card:  Not valid between Mezzaselva & Kublis; unless staying in Saas & guest card labelled with an S. Then not valid for travel between Saas & Kublis. Calls at Sernus Dorf between: 23.12–9.4&1.7–3014,17:40
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,17:40
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,18:10
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,18:10
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,18:40
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,19:10
From,Kublis:Via Saas:Via Serneus,231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,19:40
From,Kublis:Via Saas:Via Serneus:(Landquart),231,Kublis:Serneus:Dorf,Traveling with lift pass: Not valid between Mezzaselva and Kublis. Traveling with guest card:  Not valid between Mezzaselva and Kublis;  unless staying in Saas and guest card is marked with an S. In which case not valid for travel between Saas and Kublis.,20:10
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,20:10
From,Serneus Dorf: Via Serneus,231,Serneus:Dorf,No,20:40
