1,Destination,Route,Towards,Notes,Vereinapark
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No service Sundays or public holidays.,06:16
To,Klosters Platz - Station,232,Klosters Platz - Station,Monday - Saturday only; no service public holidays,06:19
To,Klosters Platz - Station,231,Klosters Platz - Station,No,06:26
To,Klosters Platz - Station,232,Klosters Platz - Station,Monday - Saturday only; no service public holidays,06:44
To,Klosters Platz - Station,234,Klosters Platz - Station,No,06:45
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos not availible on weekends or public holidays.,06:53
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,07:16
To,Klosters Platz - Station,232,Klosters Platz - Station,No,07:22
To,Klosters Platz - Station,231,Klosters Platz - Station,No,07:46
To,Klosters Platz - Station,234,Klosters Platz - Station,No,07:50
To,Klosters Platz - Station,232,Klosters Platz - Station,No,07:52
To,Klosters Platz - Station,237,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,07:56
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,07:57
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,08:12
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,08:16
To,Klosters Platz - Station,232,Klosters Platz - Station,No,08:22
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,08:27
To,Klosters Platz - Station,234,Klosters Platz - Station,No,08:42
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,08:42
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,08:46
To,Klosters Platz - Station,237,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,08:46
To,Klosters Platz - Station,232,Klosters Platz - Station,No,08:52
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,08:57
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,09:12
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,09:16
To,Klosters Platz - Station,232,Klosters Platz - Station,No,09:22
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,09:27
To,Klosters Platz - Station,234,Klosters Platz - Station,No,09:42
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,09:42
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,09:46
To,Klosters Platz - Station,232,Klosters Platz - Station,No,09:52
To,Klosters Platz - Station,237,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,09:56
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,09:57
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,10:12
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,10:16
To,Klosters Platz - Station,232,Klosters Platz - Station,No,10:22
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,10:27
To,Klosters Platz - Station,234,Klosters Platz - Station,No,10:42
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,10:42
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,10:46
To,Klosters Platz - Station,232,Klosters Platz - Station,No,10:52
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,10:57
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,11:12
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,11:16
To,Klosters Platz - Station,232,Klosters Platz - Station,No,11:22
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,11:27
To,Klosters Platz - Station,234,Klosters Platz - Station,No,11:42
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,11:42
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,11:46
To,Klosters Platz - Station,232,Klosters Platz - Station,No,11:52
To,Klosters Platz - Station,234,Klosters Platz - Station,No,11:54
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,11:57
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,12:12
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,12:16
To,Klosters Platz - Station,237,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,12:21
To,Klosters Platz - Station,232,Klosters Platz - Station,No,12:22
To,Klosters Platz - Station,234,Klosters Platz - Station,No,12:42
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,12:42
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,12:46
To,Klosters Platz - Station,232,Klosters Platz - Station,No,12:52
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,13:12
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,13:16
To,Klosters Platz - Station,232,Klosters Platz - Station,No,13:22
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,13:27
To,Klosters Platz - Station,237,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,13:36
To,Klosters Platz - Station,234,Klosters Platz - Station,No,13:42
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,13:42
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,13:46
To,Klosters Platz - Station,232,Klosters Platz - Station,No,13:52
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,13:57
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,14:16
To,Klosters Platz - Station,232,Klosters Platz - Station,No,14:22
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,14:27
To,Klosters Platz - Station,234,Klosters Platz - Station,No,14:42
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,14:46
To,Klosters Platz - Station,232,Klosters Platz - Station,No,14:52
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,14:57
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,15:12
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,15:16
To,Klosters Platz - Station,232,Klosters Platz - Station,No,15:22
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,15:27
To,Klosters Platz - Station,234,Klosters Platz - Station,No,15:42
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,15:42
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,15:46
To,Klosters Platz - Station,232,Klosters Platz - Station,No,15:52
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,15:57
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,16:12
To,Klosters Platz - Station,237,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,16:16
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,16:16
To,Klosters Platz - Station,232,Klosters Platz - Station,No,16:22
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,16:27
To,Klosters Platz - Station,234,Klosters Platz - Station,No,16:42
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,16:42
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,Connection to Davos 24 Dec - 11 Mar only.,16:46
To,Klosters Platz - Station,232,Klosters Platz - Station,No,16:52
To,Klosters Platz - Station,237,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,16:56
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,16:57
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,17:12
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,17:16
To,Klosters Platz - Station,232,Klosters Platz - Station,No,17:22
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,17:27
To,Klosters Platz - Station,234,Klosters Platz - Station,No,17:42
To,Klosters Platz - Station,235,Klosters Platz - Station,Service runs from the 23rd of December to the 26th March only,17:42
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,17:46
To,Klosters Platz - Station,232,Klosters Platz - Station,No,17:52
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,18:16
To,Klosters Platz - Station,232,Klosters Platz - Station,No,18:22
To,Klosters Platz - Station,234,Klosters Platz - Station,No,18:42
To,Klosters Platz - Station,232,Klosters Platz - Station,No,18:57
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,19:16
To,Klosters Platz - Station,232,Klosters Platz - Station,No,19:22
To,Klosters Platz - Station,234,Klosters Platz - Station,No,19:42
To,Klosters Platz - Station,232,Klosters Platz - Station,No,19:57
To,Klosters Platz - Station:(Davos),231,Klosters Platz - Station,No,20:16
